"","OM","Code","conv","nll","nll_Catch1","nll_Catch2","nll_Catch3","nll_Catch4","nll_Ceq1","nll_Ceq2","nll_Ceq3","nll_Ceq4","nll_CAA1","nll_CAA2","nll_CAA3","nll_CAA4","nll_Index1","nll_Index2","q1","q2"
"1","1","RefCase","TRUE","4197.87","0","0","0","0","0","0","0.09","904.94","330.19","401.31","865.08","0","10.5","32.94","3.2","8.06"
"2","2","M_LowMv","TRUE","3870.56","0","0","0","0","0","0","0.28","570.01","331.42","401.01","867.95","0","10.46","33.28","3.43","9.72"
"3","3","M_HighMv","TRUE","4047.24","0","0","0","0","0","0","0.03","744.97","330.64","401.93","869.01","0","10.76","34.21","2.51","6.16"
"4","4","G_ChangeGrowth","TRUE","4197.87","0","0","0","0","0","0","0.09","904.94","330.19","401.31","865.08","0","10.5","32.94","3.2","8.06"
"5","5","h_Steep85","FALSE","3346.26","0","0","0","0","0","0","0","0","322.85","485.09","849.01","0","9.11","34.31","3.03","8.36"
"6","6","h_Steep75","TRUE","4388.67","0","0","0","0","0","0","0.15","1096.03","330.5","400.97","865.17","0","10.37","32.77","2.91","7.67"
"7","7","h_Steep70","TRUE","4092.13","0","0","0","0","0","0","0.18","799.05","330.78","400.84","865.11","0","10.38","32.76","2.77","7.51"
"8","8","h_Steep65","FALSE","3255.5","0","0","0","0","0","0","0","0","323.32","398.14","845.81","0","9.04","33.24","2.96","7.9"
"9","9","h_Steep55","TRUE","3798.21","0","0","0","0","0","0","0.3","500.22","332.18","400.32","865.07","0","11.32","32.76","2.28","6.86"
"10","10","C_WeirCat","TRUE","4056.81","0","0","0","0","0","0","0","0.42","335.17","399.07","868.64","751.73","12.55","31.89","3.03","7.54"
"11","11","q_1","TRUE","10092.97","0","0","0","0","0","0","0.77","126.67","429.31","469.2","2040.53","0","14.24","105.61","1","15"
"12","12","q_1x4","TRUE","4152.7","0","0","0","0","0","0","0.1","813.48","337.67","399.59","866.31","0","39.92","33.46","1","5.25"
"13","13","q_1x16","TRUE","4265.99","0","0","0","0","0","0","0.22","839.03","339.76","400.12","867.4","0","105.16","33.49","1","5.8"
"14","14","q_1x36","TRUE","4357.98","0","0","0","0","0","0","0.3","817.19","342.11","400.49","870.51","0","182.28","33.59","1","6.13"
"15","15","Comp_AgeLength","TRUE","11276.07","0","0","0","0","0","0","0.31","1.17","337.03","402.22","865.77","0","10.4","33.5","3.78","9.88"
"16","17","CompWt_01","TRUE","891.25","0","0","0","0","0","0","0.1","1.83","72.95","83.97","186.86","156.29","8.79","27.29","3.5","8.75"
"17","18","CompWt_1","TRUE","8019.2","0","0","0","0","0","0","0.11","0.32","664.58","793.21","1717.18","1500.72","12.89","37.35","3.1","7.69"
"18","19","CompWt_2","TRUE","15921.91","0","0","0","0","0","0","0.16","0.32","1324.41","1581.47","3410.1","2996.04","14.83","40.42","2.95","7.45"
"19","20","CompWt_5","TRUE","39621.33","0","0","0","0","0","0","0.24","0.36","3306.55","3946.89","8486.05","7486.71","18.21","43.06","2.76","7.23"
"20","21","M_0.2","TRUE","4023.23","0","0","0","0","0","0","0.44","689.66","339.72","400.78","873.58","0","12.27","32.53","2.81","10.51"
"21","22","M_0.2Lh","TRUE","3989.91","0","0","0","0","0","0","0.51","596.24","350.59","400.13","882.35","0","26.64","32.01","1.84","9.49"
"22","23","LS_none","TRUE","3805.01","0","0","0","0","0","0","0.08","551.23","329.96","400","862.24","0","10.37","0","3.28","7.89"
"23","24","LS_none1","TRUE","3805.01","0","0","0","0","0","0","0.08","551.23","329.96","400","862.24","0","10.37","0","3.28","0.44"
"24","25","R_1968-2016","TRUE","4197.87","0","0","0","0","0","0","0.09","904.94","330.19","401.31","865.08","0","10.5","32.94","3.2","8.06"
"25","26","R_1968-1993","TRUE","4197.87","0","0","0","0","0","0","0.09","904.94","330.19","401.31","865.08","0","10.5","32.94","3.2","8.06"
"26","27","R_2010-2016","TRUE","4197.87","0","0","0","0","0","0","0.09","904.94","330.19","401.31","865.08","0","10.5","32.94","3.2","8.06"
"27","28","R_1994-2009","TRUE","4197.87","0","0","0","0","0","0","0.09","904.94","330.19","401.31","865.08","0","10.5","32.94","3.2","8.06"
"28","29","G_stepback","TRUE","4197.87","0","0","0","0","0","0","0.09","904.94","330.19","401.31","865.08","0","10.5","32.94","3.2","8.06"
"29","30","h_Steep90","TRUE","4272.38","0","0","0","0","0","0","0.09","979.62","330.17","401.25","865.18","0","10.47","32.88","3.17","8"
