"","OM","Code","conv","nll","nll_Catch1","nll_Catch2","nll_Catch3","nll_Catch4","nll_Ceq1","nll_Ceq2","nll_Ceq3","nll_Ceq4","nll_CAA1","nll_CAA2","nll_CAA3","nll_CAA4","nll_Index1","nll_Index2","q1","q2"
"1","1","1 A H -","TRUE","4064.55","0","0","0","0","0","0","0.09","0.38","335.49","399.24","869.73","753.8","11.32","33.64","3.24","7.97"
"2","2","2 A H -","TRUE","4071.35","0","0","0","0","0","0","0.25","0.72","336.12","399.16","872.33","754.68","11.05","33.48","3.59","9.74"
"3","3","3 A H -","TRUE","4078.99","0","0","0","0","0","0","0.03","0.35","336.29","399.62","874.34","758.01","11.57","35.36","2.59","6.14"
"4","4","1 B H -","TRUE","4064.55","0","0","0","0","0","0","0.09","0.38","335.49","399.24","869.73","753.8","11.32","33.64","3.24","7.97"
"5","5","2 B H -","TRUE","4071.35","0","0","0","0","0","0","0.25","0.72","336.12","399.16","872.33","754.68","11.05","33.48","3.59","9.74"
"6","6","3 B H -","TRUE","4078.99","0","0","0","0","0","0","0.03","0.35","336.29","399.62","874.34","758.01","11.57","35.36","2.59","6.14"
"7","7","1 A L -","TRUE","4064.17","0","0","0","0","0","0","0.15","0.48","335.52","398.83","869.49","754.14","10.87","33.35","2.93","7.5"
"8","8","2 A L -","TRUE","4084.74","0","0","0","0","0","0","0.42","0.96","339.83","398.49","873.41","755.66","12.84","33.15","2.72","8.94"
"9","9","3 A L -","TRUE","4078.6","0","0","0","0","0","0","0.04","0.35","335.56","399.57","874.82","758.08","11.29","34.84","2.7","6"
"10","10","1 B L -","TRUE","4064.17","0","0","0","0","0","0","0.15","0.48","335.52","398.83","869.49","754.14","10.87","33.35","2.93","7.5"
"11","11","2 B L -","TRUE","4084.74","0","0","0","0","0","0","0.42","0.96","339.83","398.49","873.41","755.66","12.84","33.15","2.72","8.94"
"12","12","3 B L -","TRUE","4078.6","0","0","0","0","0","0","0.04","0.35","335.56","399.57","874.82","758.08","11.29","34.84","2.7","6"
"13","13","1 A H +","TRUE","4056.81","0","0","0","0","0","0","0","0.42","335.17","399.07","868.64","751.73","12.55","31.89","3.03","7.54"
"14","14","2 A H +","TRUE","4062.15","0","0","0","0","0","0","0.02","0.98","336.88","399.11","870.06","752.45","12.02","31.87","3.25","9.12"
"15","15","3 A H +","TRUE","4073.21","0","0","0","0","0","0","0","0.31","336.07","399.4","873.7","756.12","12.58","33.88","2.39","5.82"
"16","16","1 B H +","TRUE","4056.81","0","0","0","0","0","0","0","0.42","335.17","399.07","868.64","751.73","12.55","31.89","3.03","7.54"
"17","17","2 B H +","TRUE","4062.15","0","0","0","0","0","0","0.02","0.98","336.88","399.11","870.06","752.45","12.02","31.87","3.25","9.12"
"18","18","3 B H +","TRUE","4073.21","0","0","0","0","0","0","0","0.31","336.07","399.4","873.7","756.12","12.58","33.88","2.39","5.82"
"19","19","1 A L +","TRUE","4056.65","0","0","0","0","0","0","0.04","0.75","336.13","398.4","867.42","752.34","11.66","31.71","2.44","6.85"
"20","20","2 A L +","TRUE","4105.88","0","0","0","0","0","0","0.15","1.05","346.32","398.07","873.5","754.4","24","31.51","1.87","7.83"
"21","21","3 A L +","TRUE","4072.54","0","0","0","0","0","0","0","0.32","335.19","399.33","874.25","756.29","12.23","33.18","2.51","5.73"
"22","22","1 B L +","TRUE","4056.65","0","0","0","0","0","0","0.04","0.75","336.13","398.4","867.42","752.34","11.66","31.71","2.44","6.85"
"23","23","2 B L +","TRUE","4105.88","0","0","0","0","0","0","0.15","1.05","346.32","398.07","873.5","754.4","24","31.51","1.87","7.83"
"24","24","3 B L +","TRUE","4072.54","0","0","0","0","0","0","0","0.32","335.19","399.33","874.25","756.29","12.23","33.18","2.51","5.73"
