"","OM","Code","MSY","FMSY","SSBMSY","SSBMSY_SSB0","BMSY_B0","BMSY","VBMSY","UMSY","VBMSY_VB0","FMSY_M","N0","SSB0","B0","VB0","RefY","Blow","MGT","R0","D","SSB_SSBMSY"
"1","1","1 A H -",76.433,0.625,111.182,0.142,0.257,256.698,184.379,0.415,0.214,3.124,8.479,785.248,997.299,860.454,47.934,0.024,5.089,2.504,0.219,1.54225352112676
"2","2","2 A H -",55.81,0.501,105.817,0.136,0.237,220.654,158.828,0.352,0.202,2.505,7.023,777.972,932.108,786.424,43.599,0.011,5.521,2.16,0.169,1.24264705882353
"3","3","3 A H -",123.551,1.077,90.666,0.11,0.344,414.693,212.568,0.583,0.216,5.384,16.804,828.062,1204.713,981.957,70.275,11.874,4.691,7.85,0.325,2.95454545454545
"4","4","1 B H -",76.986,0.623,112.504,0.143,0.26,259.419,186.194,0.414,0.216,3.116,8.479,785.248,997.299,860.454,45.148,0.024,5.089,2.504,0.219,1.53146853146853
"5","5","2 B H -",56.245,0.5,107.171,0.138,0.239,223.158,160.546,0.351,0.204,2.498,7.023,777.972,932.108,786.424,39.56,0.012,5.521,2.16,0.169,1.22463768115942
"6","6","3 B H -",124.366,1.075,91.665,0.111,0.348,419.194,214.399,0.582,0.218,5.373,16.804,828.062,1204.713,981.957,71.091,11.874,4.691,7.85,0.325,2.92792792792793
"7","7","1 A L -",59.718,0.316,184.449,0.223,0.306,321.814,255.514,0.234,0.283,1.579,8.938,827.691,1051.204,903.242,34.818,2.93,5.089,2.639,0.197,0.883408071748879
"8","8","2 A L -",43.195,0.25,171.955,0.212,0.285,277.176,222.837,0.194,0.274,1.248,7.316,810.404,970.965,813.774,38.257,3.374,5.521,2.25,0.199,0.938679245283019
"9","9","3 A L -",90.522,0.445,189.391,0.219,0.393,495.161,308.95,0.294,0.301,2.227,17.562,865.421,1259.065,1025.509,40.794,2.636,4.691,8.204,0.282,1.28767123287671
"10","10","1 B L -",60.189,0.315,186.402,0.225,0.309,325.069,257.945,0.234,0.285,1.577,8.938,827.691,1051.204,903.242,26.896,2.971,5.089,2.639,0.197,0.875555555555556
"11","11","2 B L -",43.572,0.249,173.749,0.214,0.288,280.012,224.981,0.194,0.276,1.247,7.316,810.404,970.965,813.774,28.894,3.422,5.521,2.25,0.199,0.929906542056075
"12","12","3 B L -",91.163,0.445,191.331,0.221,0.397,500.336,311.696,0.293,0.304,2.224,17.562,865.421,1259.065,1025.509,33.15,2.67,4.691,8.204,0.282,1.27601809954751
"13","13","1 A H +",105.309,0.533,162.846,0.143,0.253,365.615,292.243,0.36,0.327,2.666,12.299,1139.001,1446.582,894.335,55.628,0.014,5.089,3.632,0.175,1.22377622377622
"14","14","2 A H +",87.335,0.445,172.06,0.136,0.233,352.922,277.283,0.315,0.329,2.225,11.432,1266.354,1517.251,842.825,52.378,0.017,5.521,3.515,0.124,0.911764705882353
"15","15","3 A H +",151.679,0.869,115.212,0.11,0.335,508.505,315.705,0.481,0.316,4.344,21.204,1044.885,1520.161,998.379,80.742,1.423,4.691,9.906,0.296,2.69090909090909
"16","16","1 B H +",106.101,0.532,164.588,0.145,0.255,369.287,294.949,0.36,0.33,2.662,12.299,1139.001,1446.582,894.335,53.406,0.014,5.089,3.632,0.175,1.20689655172414
"17","17","2 B H +",88.031,0.444,174.037,0.137,0.235,356.698,280.044,0.314,0.333,2.221,11.432,1266.354,1517.251,842.825,48.239,0.017,5.521,3.515,0.124,0.905109489051095
"18","18","3 B H +",152.796,0.869,116.2,0.111,0.338,513.657,318.269,0.481,0.318,4.343,21.204,1044.885,1520.161,998.379,84.342,1.423,4.691,9.906,0.296,2.66666666666667
"19","19","1 A L +",84.502,0.283,276.569,0.223,0.303,476.377,398.955,0.212,0.417,1.417,13.387,1239.719,1574.497,955.758,43.441,4.929,5.089,3.953,0.155,0.695067264573991
"20","20","2 A L +",69.966,0.236,295.907,0.211,0.281,471.871,380.732,0.184,0.418,1.179,12.638,1399.902,1677.258,911.202,50.969,6.364,5.521,3.886,0.22,1.04265402843602
"21","21","3 A L +",112.49,0.384,241.302,0.218,0.387,623.131,444.203,0.254,0.422,1.919,22.471,1107.325,1611.001,1052.005,47.746,3.597,4.691,10.498,0.245,1.12385321100917
"22","22","1 B L +",85.17,0.283,279.38,0.225,0.306,481.061,402.596,0.212,0.421,1.416,13.387,1239.719,1574.497,955.758,34.159,4.994,5.089,3.953,0.155,0.688888888888889
"23","23","2 B L +",70.562,0.236,298.815,0.213,0.284,476.493,384.112,0.184,0.422,1.179,12.638,1399.902,1677.258,911.202,39.441,6.448,5.521,3.886,0.22,1.03286384976526
"24","24","3 B L +",113.326,0.383,243.657,0.22,0.391,629.497,448.154,0.253,0.426,1.917,22.471,1107.325,1611.001,1052.005,39.9,3.641,4.691,10.498,0.245,1.11363636363636
